src_ip,dst_ip,duration,src_bytes,dst_bytes,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,http_response_body_len
49.29.13.153,192.168.29.172,0.0,54,0,0,1,20,0,0,0
130.123.129.252,192.168.29.172,0.0,54,0,0,1,20,0,0,0
66.28.85.123,192.168.29.172,0.0,54,0,0,1,20,0,0,0
57.174.13.233,192.168.29.172,0.0,54,0,0,1,20,0,0,0
243.43.114.118,192.168.29.172,0.0,54,0,0,1,20,0,0,0
132.133.22.191,192.168.29.172,0.0,54,0,0,1,20,0,0,0
87.225.41.37,192.168.29.172,0.0,54,0,0,1,20,0,0,0
19.227.53.52,192.168.29.172,0.0,54,0,0,1,20,0,0,0
253.223.117.50,192.168.29.172,0.0,54,0,0,1,20,0,0,0
11.81.154.226,192.168.29.172,0.0,54,0,0,1,20,0,0,0
127.87.237.111,192.168.29.172,0.0,54,0,0,1,20,0,0,0
129.253.167.250,192.168.29.172,0.0,54,0,0,1,20,0,0,0
109.36.97.11,192.168.29.172,0.0,54,0,0,1,20,0,0,0
194.174.44.238,192.168.29.172,0.0,54,0,0,1,20,0,0,0
232.76.50.249,192.168.29.172,0.0,54,0,0,1,20,0,0,0
15.101.115.121,192.168.29.172,0.0,54,0,0,1,20,0,0,0
